name,year,day,count,sum,mean,stdev,index
4,2014,140,7443,273293,36.71812441219938,13.611984592586433,10
5,2014,97,1055,280442,265.8218009478673,40.381128558721841,1
5,2014,140,4554,82815,18.185111989459816,12.26531962759913,10
6,2014,97,791,198431,250.86093552465235,44.925063366314767,1
6,2014,140,2188,37423,17.103747714808044,5.5339012222015151,10
7,2014,97,2657,728175,274.059089198344,38.065706533885844,1
8,2014,97,3490,1029868,295.09111747851006,9.4633212098835884,1
7,2014,140,4594,177585,38.655855463648237,10.994882526397019,10
8,2014,140,3523,115040,32.653988078342323,12.094941052112361,10
1,2014,116,2466,27058,10.97242497972425,5.8884647052525114,10
1,2014,81,2466,0,0,0,10
2,2014,116,5751,0,0,0,10
2,2014,81,5751,0,0,0,10
3,2014,116,5603,0,0,0,10
3,2014,81,5603,0,0,0,10
4,2014,116,7443,16043,2.1554480720139728,2.8458810422163299,10
4,2014,81,7443,0,0,0,10
5,2014,116,4554,8528,1.8726394378568292,2.1578126008659959,10
5,2014,81,4554,0,0,0,10
6,2014,116,2188,16374,7.4835466179159047,1.8158362478223034,10
6,2014,81,2188,71,0.032449725776965262,0.17719125563628985,10
7,2014,116,4594,25115,5.4669133652590336,5.2994252000904591,10
7,2014,81,4594,193,0.042011319111885069,0.20061497496040626,10
8,2014,81,3523,0,0,0,10
8,2014,116,3523,16,0.0045415838773772352,0.067238068779984922,10
1,2014,145,337,-8.3082556575536728,-0.024653577618853628,0.074905999437512777,7
1,2014,117,2466,0,0,0,10
2,2014,145,262,-70.206097409129143,-0.26796220385163794,0.060652313992238902,7
2,2014,117,5751,0,0,0,10
3,2014,145,212,-60.201356008648872,-0.28396866041815505,0.075820373680343028,7
3,2014,117,5603,0,0,0,10
4,2014,145,240,-25.572511315345764,-0.10655213048060735,0.14228057043025857,7
4,2014,117,7443,0,0,0,10
5,2014,145,1730,-20.135115817189217,-0.01163879527005157,0.054961660116493144,7
5,2014,117,4554,0,0,0,10
6,2014,145,162,-52.214257627725601,-0.32231023226991112,0.14901365842288467,7
6,2014,117,2188,0,0,0,10
7,2014,145,501,-130.58247060258873,-0.2606436538973827,0.059938104576310484,7
7,2014,117,4594,61,0.013278188942098389,0.11446343800758531,10
8,2014,145,378,-120.0930237332359,-0.31770641199268757,0.1513781957421611,7
8,2014,117,3523,0,0,0,10
1,2014,161,2466,0,0,0,10
1,2014,81,1406,-496.62593179568648,-0.35321901265696054,0.28628919768443112,7
2,2014,161,5751,0,0,0,10
2,2014,81,1031,-316.87627066671848,-0.30734846815394617,0.14856130494159447,7
3,2014,161,5603,0,0,0,10
3,2014,81,1429,-471.69121524691582,-0.33008482522527349,0.15516284544244222,7
4,2014,161,7443,0,0,0,10
4,2014,81,2028,-714.63363140448928,-0.35238344743811106,0.20610149169497094,7
5,2014,161,4554,0,0,0,10
5,2014,81,3443,-903.11275426205248,-0.26230402389255081,0.33087664169924802,7
6,2014,161,2188,0,0,0,10
6,2014,81,1403,-503.10713101667352,-0.35859382110953208,0.16761488161338872,7
7,2014,161,4594,0,0,0,10
7,2014,81,2259,-964.58789091184735,-0.42699773834079119,0.22370629747681481,7
8,2014,161,3523,231,0.065569117229633836,0.24752738857621467,10
1,2014,144,2466,1958,0.79399837793998373,1.1152833382470924,10
8,2014,81,1175,-438.1991866119206,-0.37293547796759202,0.17889593910788862,7
1,2014,86,2466,786,0.31873479318734793,0.46598597060337177,9
2,2014,86,5751,4979,0.86576247609111456,1.1587869102560178,9
2,2014,144,5751,5221,0.90784211441488438,1.1607949956157702,10
3,2014,144,5603,938,0.16741031590219524,0.37334180322021593,10
3,2014,86,5603,10036,1.7911832946635731,1.7177036652540081,9
4,2014,144,7443,1013,0.13610103452908773,0.3428958193521755,10
5,2014,144,4554,0,0,0,10
4,2014,86,7443,26032,3.4975144431009002,2.5939994216957349,9
6,2014,144,2188,765,0.34963436928702013,0.76889058813024791,10
7,2014,144,4594,443,0.096430126251632567,0.2951802110622031,10
8,2014,144,3523,2580,0.73233040022707918,0.77876070011800991,10
5,2014,86,4554,2466,0.54150197628458496,0.68880503580959429,9
6,2014,86,2188,3450,1.576782449725777,0.49406928199809014,9
7,2014,86,4594,13667,2.9749673487157162,2.2840382920827116,9
8,2014,86,3523,354,0.10048254328697133,0.30064231535423164,9
1,2014,121,1714,NaN,NaN,NaN,3
1,2014,123,2466,825,0.33454987834549876,0.53770876681485802,10
1,2014,118,2466,0,0,0,10
1,2014,129,828,NaN,NaN,NaN,5
2,2014,121,574,-21.100218368446804,-0.036759962314367255,0.088806447624119655,3
2,2014,123,5751,5103,0.88732394366197187,1.226765344648957,10
2,2014,118,5751,0,0,0,10
2,2014,129,1244,-3.9763270545718115,-0.0031964043847040285,0.024024696116301269,5
3,2014,121,951,-59.732575327197992,-0.062810278998105137,0.12628406613535051,3
3,2014,118,5603,0,0,0,10
